id,p0,p1
 0, 0.0, 0.09765627
 1, 0.0, 0.09765627
 2, 0.0, 0.09765627
 3, 0.0, 0.09765627
 4, 0.0, 0.09765627
 5, 0.0, 0.09765627
 6, 0.0, 0.09765627
 7, 0.0, 0.09765627
 8, 0.0, 0.09765627
 9, 0.0, 0.09765627
10, 0.0, 0.09765627
11, 0.0, 0.09765627
12, 0.0, 0.09765627
13, 0.0, 0.09765627
14, 0.0, 0.09765627
15, 0.0, 0.09765627
16, 0.0, 0.09765627
17, 0.0, 0.09765627
18, 0.0, 0.09765627
19, 0.0, 0.09765627
20, 0.0, 0.09765627
21, 0.0, 0.09765627
22, 0.0, 0.09765627
23, 0.0, 0.09765627
24, 0.0, 0.09765627
25, 0.0, 0.09765627
26, 0.0, 0.09765627
27, 0.0, 0.09765627
28, 0.0, 0.09765627
29, 0.0, 0.09765627
30, 0.0, 0.09765627
31, 0.0, 0.09765627
32, 0.0, 0.09765627
33, 0.0, 0.09765627
34, 0.0, 0.09765627
35, 0.0, 0.09765627
36, 0.0, 0.09765627
37, 0.0, 0.09765627
38, 0.0, 0.09765627
39, 0.0, 0.09765627
40, 0.0, 0.09765627
41, 0.0, 0.09765627
42, 0.0, 0.09765627
43, 0.0, 0.09765627
44, 0.0, 0.09765627
45, 0.0, 0.09765627
46, 0.0, 0.09765627
47, 0.0, 0.09765627
48, 0.0, 0.09765627
49, 0.0, 0.09765627
50, 0.0, 0.09765627
51, 0.0, 0.09765627
52, 0.0, 0.09765627
53, 0.0, 0.09765627
54, 0.0, 0.09765627
55, 0.0, 0.09765627
56, 0.0, 0.09765627
57, 0.0, 0.09765627
58, 0.0, 0.09765627
59, 0.0, 0.09765627
60, 0.0, 0.09765627
61, 0.0, 0.09765627
62, 0.0, 0.09765627
63, 0.0, 0.09765627
64, 0.0, 0.09765627
65, 0.0, 0.09765627
66, 0.0, 0.09765627
67, 0.0, 0.09765627
68, 0.0, 0.09765627
69, 0.0, 0.09765627
70, 0.0, 0.09765627
71, 0.0, 0.09765627
72, 0.0, 0.09765627
73, 0.0, 0.09765627
74, 0.0, 0.09765627
75, 0.0, 0.09765627
76, 0.0, 0.09765627
77, 0.0, 0.09765627
78, 0.0, 0.09765627
79, 0.0, 0.09765627
80, 0.0, 0.09765627
81, 0.0, 0.09765627
82, 0.0, 0.09765627
83, 0.0, 0.09765627
84, 0.0, 0.09765627
85, 0.0, 0.09765627
86, 0.0, 0.09765627
87, 0.0, 0.09765627
88, 0.0, 0.09765627
89, 0.0, 0.09765627
90, 0.0, 0.09765627
91, 0.0, 0.09765627
92, 0.0, 0.09765627
93, 0.0, 0.09765627
94, 0.0, 0.09765627
95, 0.0, 0.09765627
96, 0.0, 0.09765627
97, 0.0, 0.09765627
98, 0.0, 0.09765627
99, 0.0, 0.09765627
